city,district,block,source,title,area_m2,total_price_yuan,unit_price_yuan_per_m2,page
Beijing,Haidian,Wanliu,fang,万城华府一层一户 堪比空中别墅好山阁 豪华装修 次新房,375.0,98000000.0,261333.0,1
Beijing,Haidian,Wanliu,fang,顶豪 万柳书院 高层观景 珍藏级别大平层 随时可看本房,256.16,57000000.0,222517.0,1
Beijing,Haidian,Wanliu,fang,"10套房源起看万城华府,万柳书院,龙湖颐和原著,香山清琴山庄",297.87,65000000.0,218216.0,1
Beijing,Haidian,Wanliu,fang,(一层一姓氏 空中真别墅)万城华府(观西山)2车1储,393.08,85000000.0,216240.0,1
Beijing,Haidian,Wanliu,fang,"10套房源起看万柳书院,万城华府,龙湖颐和原著,西山龙胤",356.0,58000000.0,162921.0,1
Beijing,Haidian,Wanliu,fang,媲美万柳书院 新出平层270度采光 新装可直接入住4居车储,428.0,70000000.0,163551.0,1
Beijing,Haidian,Wanliu,fang,(此联排非彼联排)中心位置 400大花院 南入户,545.64,125000000.0,229088.0,1
Beijing,Haidian,Wanliu,fang,万城华府空中别墅 大平层好山阁 3车位 豪华装修 拎包入住,381.0,93000000.0,244094.0,1
Beijing,Haidian,Wanliu,fang,(随时约看)(复式客厅6.5 挑空)万城华府尚园,272.63,60000000.0,220078.0,1
Beijing,Haidian,Wanliu,fang,3室2厅光大水墨风景,152.37,23880000.0,156723.0,1
Beijing,Haidian,Wanliu,fang,(随时约看)万柳书院 科技住宅大平层 可议空间大,213.7,48990000.0,229246.0,1
Beijing,Haidian,Wanliu,fang,万柳书院 一层带300平米花园 同看万城华府 龙湖颐和原著,413.63,85000000.0,205497.0,1
Beijing,Haidian,Wanliu,fang,"蜂鸟社区两居室,带车位,精装修,业主诚意出售,看房随时有钥匙",51.63,6000000.0,116211.0,1
Beijing,Haidian,Wanliu,fang,康桥水郡 127.33平2居 南北向简装修 拎包入住,127.33,16500000.0,129584.0,1
Beijing,Haidian,Wanliu,fang,万泉新新家园 316平5居 西南北向豪华装修 着急出售,316.0,54000000.0,170886.0,1
Beijing,Haidian,Wanliu,fang,5室2厅万泉新新家园,313.0,55000000.0,175718.0,1
Beijing,Haidian,Wanliu,fang,"光大水墨风景,南北通透,一层出行便利,位置安静,总成本低",147.15,21500000.0,146109.0,1
Beijing,Haidian,Wanliu,fang,山水倾城 4室3厅3卫 格局方正 品质小区,219.31,22800000.0,103962.0,1
Beijing,Haidian,Wanliu,fang,万泉新新家园 136.83平3居 南北向精装修 方便看房,136.83,18500000.0,135204.0,1
Beijing,Haidian,Wanliu,fang,4室2厅万城华府海园,288.93,75000000.0,259578.0,1
Beijing,Haidian,Wanliu,fang,万柳水墨风景南北三居 满五精装低楼层,152.37,23880000.0,156723.0,1
Beijing,Haidian,Wanliu,fang,万柳书院 海淀顶豪 有车位 高层边户 (预约可看),268.61,58000000.0,215926.0,1
Beijing,Haidian,Wanliu,fang,万柳中路南北通透三居 精装171平中层好房,171.68,25800000.0,150279.0,1
Beijing,Haidian,Wanliu,fang,5室2厅万城华府海园,321.81,85000000.0,264131.0,1
Beijing,Haidian,Wanliu,fang,海淀顶豪 万柳书院 高层边户大平层 带车位,272.0,65000000.0,238970.0,1
Beijing,Haidian,Wanliu,fang,万柳书院275㎡边户4居!3层一梯一户+私享门厅,275.0,62000000.0,225192.0,1
Beijing,Haidian,Wanliu,fang,3室2厅光大水墨风景,147.15,21500000.0,146109.0,1
Beijing,Haidian,Wanliu,fang,"万柳书院 218.38 平 3 室,观万寿山佛香阁,一梯一户",218.38,54000000.0,247275.0,1
Beijing,Haidian,Wanliu,fang,"万城华府海园5层大平层,挑高7.2米,层高3.6米,装修好",375.4,98000000.0,261054.0,1
Beijing,Haidian,Wanliu,fang,惊现!万城华府龙园好山阁7层尊席 394㎡一层一户 五阳台,394.0,100000000.0,253710.0,1
Beijing,Haidian,Wanliu,fang,万柳洋房+高区两居+ 一梯两户+三面采光+双车位储,218.81,28500000.0,130249.0,1
Beijing,Haidian,Wanliu,fang,南北通透涧桥泊屋3室2厅精装修,156.05,21800000.0,139698.0,1
Beijing,Haidian,Wanliu,fang,"这套必看 万柳光大花园新出阳面三居室,有钥匙 价格不设限",150.81,13980000.0,92699.0,1
Beijing,Haidian,Wanliu,fang,万城华府龙园官邸 307.53㎡大平层 车位 正对公园,307.53,76000000.0,247130.0,1
Beijing,Haidian,Wanliu,fang,万泉小三居 有 户型方正 看房效果,136.83,18500000.0,135204.0,1
Beijing,Haidian,Wanliu,fang,南北通透万柳书院3室1厅精装修,218.38,54000000.0,247275.0,1
Beijing,Haidian,Wanliu,fang,"万城华府海园 345 平 5 室,三面采光9.4米面宽双",345.0,81000000.0,234782.0,1
Beijing,Haidian,Wanliu,fang,万泉可用!小南庄1号楼2层边户南向两居 空置 低总价随时签约,55.0,4190000.0,76181.0,2
Beijing,Haidian,Wanliu,fang,万柳书院275㎡边户4居!3层一梯一户+私享门厅,275.0,62000000.0,225192.0,2
Beijing,Haidian,Wanliu,fang,"这套必看 万柳光大花园新出阳面三居室,有钥匙 价格不设限",150.81,13980000.0,92699.0,2
Beijing,Haidian,Wanliu,fang,惊现!万城华府龙园好山阁7层尊席 394㎡一层一户 五阳台,394.0,100000000.0,253710.0,2
Beijing,Haidian,Wanliu,fang,"万城华府海园5层大平层,挑高7.2米,层高3.6米,装修好",375.4,98000000.0,261054.0,2
Beijing,Haidian,Wanliu,fang,南北通透万柳书院3室1厅精装修,218.38,54000000.0,247275.0,2
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天2期,145.42,22600000.0,155411.0,2
Beijing,Haidian,Wanliu,fang,3室2厅阳春光华枫树园,126.3,14300000.0,113222.0,2
Beijing,Haidian,Wanliu,fang,位置好 万城华府(一层一户 四面采光)业主委托 独嘉房源,395.0,86500000.0,218987.0,2
Beijing,Haidian,Wanliu,fang,万柳洋房+板楼+复式带双 旁 中心花园无遮挡,330.86,53000000.0,160188.0,2
Beijing,Haidian,Wanliu,fang,怡水园3室2厅精装修,219.31,22800000.0,103962.0,2
Beijing,Haidian,Wanliu,fang,20套起看 两梯一户四面采光 5室3厅 万城华府龙园2车1储,390.0,86000000.0,220512.0,2
Beijing,Haidian,Wanliu,fang,万城华府龙园 1室2厅1卫 全南户型 主卧朝南,80.0,20000000.0,250000.0,2
Beijing,Haidian,Wanliu,fang,"万城华府尚园 楼间距大,顶层层高5.1米可以做豪华装修",298.14,70000000.0,234789.0,2
Beijing,Haidian,Wanliu,fang,"万柳华府三期新上豪华装修复式,前后观景,拎包入住。",351.0,80000000.0,227920.0,2
Beijing,Haidian,Wanliu,fang,万柳 阳春光华南北3居 一层有园 电梯车位 看房方便,137.19,18800000.0,137036.0,2
Beijing,Haidian,Wanliu,fang,阳春光华 4室2厅2卫 带飘窗 带车库,176.91,22900000.0,129444.0,2
Beijing,Haidian,Wanliu,fang,康桥水郡 2室2厅2卫 主卧朝南 客厅朝南,127.33,16500000.0,129584.0,2
Beijing,Haidian,Wanliu,fang,万柳 碧水云天西区 高层观景 视野好 观看中关村灯光秀,60.32,7600000.0,125994.0,2
Beijing,Haidian,Wanliu,fang,"(有钥匙)万柳书院精装高层南北观景平层,满五年,科技住宅",218.38,53500000.0,244985.0,2
Beijing,Haidian,Wanliu,fang,万泉新新CEO城市官邸三卧朝南满五年税费少带车位,313.75,54000000.0,172111.0,2
Beijing,Haidian,Wanliu,fang,观西山 顶层 花2居的钱住3居 看房随时 保养好 老业主委托,114.59,24000000.0,209442.0,2
Beijing,Haidian,Wanliu,fang,万城华府龙园 1室1厅1卫 经典实用 格局方正,79.23,16000000.0,201943.0,2
Beijing,Haidian,Wanliu,fang,万柳碧水云天 方正四居 总价低 双车位,178.28,25680000.0,144043.0,2
Beijing,Haidian,Wanliu,fang,万柳书院 新出C户型大平层 位于中间位置 明厨明卫 户型方正,263.66,67000000.0,254115.0,2
Beijing,Haidian,Wanliu,fang,涧桥泊屋馆 2室2厅2卫 格局方正 品质小区,127.2,14990000.0,117845.0,2
Beijing,Haidian,Wanliu,fang,万柳品质第三纯板楼社区 人车分流 中间位置餐客厅分离 钥匙房,149.0,22900000.0,153691.0,2
Beijing,Haidian,Wanliu,fang,万城华府龙园 5室3厅4卫 繁华地段 电梯房,307.53,76000000.0,247130.0,2
Beijing,Haidian,Wanliu,fang,万城华府海园 5室3厅3卫 格局方正 品质小区,375.0,105000000.0,280000.0,2
Beijing,Haidian,Wanliu,fang,万城华府玺园 4室3厅3卫 客厅带阳台 主卧朝南,420.21,70000000.0,166583.0,2
Beijing,Haidian,Wanliu,fang,万柳 碧水云天西区 高层观景 视野好 观看中关村灯光秀,60.32,7600000.0,125994.0,2
Beijing,Haidian,Wanliu,fang,单独委托 老业主房子 万泉一期四居室 装修保养的好 带车储,205.63,34000000.0,165345.0,2
Beijing,Haidian,Wanliu,fang,"出国卖房,懂得来,有产权车位,豪华装修拎包入住,价格可刀",413.63,85000000.0,205497.0,2
Beijing,Haidian,Wanliu,fang,康桥水郡 4室2厅2卫 客厅带阳台 客厅朝南,202.76,28000000.0,138094.0,2
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天2期,138.75,20880000.0,150486.0,2
Beijing,Haidian,Wanliu,fang,"钥匙房万城华府龙园一层好山阁,四面采光,五居室+书房+保姆间",395.22,97000000.0,245432.0,2
Beijing,Haidian,Wanliu,fang,康桥水郡 4室2厅2卫 两房朝南 主卧朝南,198.21,24300000.0,122597.0,2
Beijing,Haidian,Wanliu,fang,"万城华府全新装修复式官邸,中间位置,满五年带车位",318.63,70000000.0,219690.0,2
Beijing,Haidian,Wanliu,fang,万柳万泉新增钥匙房 一二层复式 客厅挑高带车位,239.92,31000000.0,129209.0,2
Beijing,Haidian,Wanliu,fang,碧水云天西区 1室1厅1卫 格局方正,81.72,7900000.0,96671.0,2
Beijing,Haidian,Wanliu,fang,南北通透涧桥泊屋3室2厅精装修,171.68,25800000.0,150279.0,2
Beijing,Haidian,Wanliu,fang,涧桥泊屋馆 4室2厅2卫 带飘窗 卫生间全明,183.33,32500000.0,177275.0,2
Beijing,Haidian,Wanliu,fang,急售 高层远观西山经典南北三居、客厅主卧朝南正对园区花园,150.21,21000000.0,139804.0,2
Beijing,Haidian,Wanliu,fang,光大水墨风景 3室2厅2卫 客厅朝南 主卧朝南,150.62,21900000.0,145399.0,2
Beijing,Haidian,Wanliu,fang,"碧水云天复试豪宅,实际使用360平,楼上楼下双入户,位置好,",305.0,43000000.0,140983.0,2
Beijing,Haidian,Wanliu,fang,万城华府尚园 4室3厅3卫 客厅带阳台 格局方正,299.23,70000000.0,233933.0,2
Beijing,Haidian,Wanliu,fang,光大水墨风景 3室2厅2卫 带飘窗 客厅带阳台,147.27,21800000.0,148027.0,2
Beijing,Haidian,Wanliu,fang,万城华府海园 4室3厅4卫 格局方正,300.28,72000000.0,239776.0,2
Beijing,Haidian,Wanliu,fang,碧水云天西区 4室2厅2卫 品质小区 带飘窗,235.84,34000000.0,144165.0,2
Beijing,Haidian,Wanliu,fang,万柳万泉新增东向一居室 满二年税费少 大落地窗采光好 可看房,55.39,6400000.0,115544.0,2
Beijing,Haidian,Wanliu,fang,万城华府龙园 1室2厅1卫 品质小区 经典实用,78.08,13500000.0,172899.0,2
Beijing,Haidian,Wanliu,fang,万柳书院 3室2厅2卫 主卧朝南 客厅朝南,217.88,55000000.0,252432.0,2
Beijing,Haidian,Wanliu,fang,碧水云天 180.12平4居 南北向精装修 方便看房,180.12,20150000.0,111869.0,2
Beijing,Haidian,Wanliu,fang,"万城华府龙湖颐和原著对比,豪华装修好位置好",381.0,93000000.0,244094.0,2
Beijing,Haidian,Wanliu,fang,万城华府龙园 1室2厅1卫 格局方正 品质小区,78.08,13500000.0,172899.0,2
Beijing,Haidian,Wanliu,fang,小南庄 61.5平2居 南北向精装修 视野无遮挡,61.5,3790000.0,61626.0,2
Beijing,Haidian,Wanliu,fang,万城华府海园 4室3厅3卫 经典实用 主卧朝南,318.0,70000000.0,220125.0,2
Beijing,Haidian,Wanliu,fang,"碧水云天三居室,业主诚意卖,价格好谈,欢迎咨询",116.34,15500000.0,133230.0,3
Beijing,Haidian,Wanliu,fang,涧桥泊屋馆 3室2厅1卫 品质小区 经典实用,138.72,21000000.0,151384.0,3
Beijing,Haidian,Wanliu,fang,万城华府海园 4室3厅4卫 格局方正,300.28,72000000.0,239776.0,3
Beijing,Haidian,Wanliu,fang,万柳书院 3室2厅2卫 主卧朝南 客厅朝南,217.88,55000000.0,252432.0,3
Beijing,Haidian,Wanliu,fang,碧水云天 180.12平4居 南北向精装修 方便看房,180.12,20150000.0,111869.0,3
Beijing,Haidian,Wanliu,fang,万城华府海园 4室3厅3卫 经典实用 主卧朝南,318.0,70000000.0,220125.0,3
Beijing,Haidian,Wanliu,fang,光大水墨风景 3室2厅2卫 带飘窗 客厅带阳台,147.27,21800000.0,148027.0,3
Beijing,Haidian,Wanliu,fang,"碧水云天复试豪宅,实际使用360平,楼上楼下双入户,位置好,",305.0,43000000.0,140983.0,3
Beijing,Haidian,Wanliu,fang,万柳万泉新增东向一居室 满二年税费少 大落地窗采光好 可看房,55.39,6400000.0,115544.0,3
Beijing,Haidian,Wanliu,fang,懋源·璟岳4室2厅豪华装修,209.0,25500000.0,122009.0,3
Beijing,Haidian,Wanliu,fang,海淀西三环 低密花园洋房 近人大 3室2厅万泉新新家园,182.93,26500000.0,144864.0,3
Beijing,Haidian,Wanliu,fang,南北通透涧桥泊屋4室2厅,183.08,32000000.0,174786.0,3
Beijing,Haidian,Wanliu,fang,4室2厅万泉新新家园,200.05,29800000.0,148962.0,3
Beijing,Haidian,Wanliu,fang,新起点嘉园3室2厅精装修,158.05,16880000.0,106801.0,3
Beijing,Haidian,Wanliu,fang,康桥水郡4室2厅精装修,254.0,45500000.0,179133.0,3
Beijing,Haidian,Wanliu,fang,涧桥泊屋2室1厅精装修,115.0,15500000.0,134782.0,3
Beijing,Haidian,Wanliu,fang,4室2厅万泉新新家园,237.95,39800000.0,167262.0,3
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天1期,137.4,19500000.0,141921.0,3
Beijing,Haidian,Wanliu,fang,3室2厅万泉新新家园,176.4,23800000.0,134920.0,3
Beijing,Haidian,Wanliu,fang,南北通透万柳书院3室1厅精装修,218.38,54000000.0,247275.0,3
Beijing,Haidian,Wanliu,fang,3室2厅阳春光华枫树园,126.3,14300000.0,113222.0,3
Beijing,Haidian,Wanliu,fang,康桥水郡1室1厅企业推荐房源,49.08,7100000.0,144661.0,3
Beijing,Haidian,Wanliu,fang,2室2厅阳春光华枫树园,107.0,11000000.0,102803.0,3
Beijing,Haidian,Wanliu,fang,4室1厅锋尚国际公寓,154.32,24800000.0,160705.0,3
Beijing,Haidian,Wanliu,fang,懋源·璟岳4室2厅精装修,163.87,16800000.0,102520.0,3
Beijing,Haidian,Wanliu,fang,"海淀双地铁万柳万泉新家园精装5居,高端大平层经典户型亲自拍摄",330.86,53000000.0,160188.0,3
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天2期,144.26,23980000.0,166227.0,3
Beijing,Haidian,Wanliu,fang,南北通透康桥水郡4室2厅精装修,202.0,28000000.0,138613.0,3
Beijing,Haidian,Wanliu,fang,3室1厅碧水云天2期,144.0,18880000.0,131111.0,3
Beijing,Haidian,Wanliu,fang,万柳书院3室2厅精装修,275.32,62000000.0,225192.0,3
Beijing,Haidian,Wanliu,fang,2室1厅阳春光华枫树园,91.83,9500000.0,103452.0,3
Beijing,Haidian,Wanliu,fang,南北通透涧桥泊屋3室2厅精装修,164.33,25500000.0,155175.0,3
Beijing,Haidian,Wanliu,fang,3室2厅万泉新新家园,160.41,24800000.0,154603.0,3
Beijing,Haidian,Wanliu,fang,万城华府龙园 394.15平5居 业主诚意高 拎包入住 急售,394.15,100000000.0,253710.0,3
Beijing,Haidian,Wanliu,fang,4室2厅碧水云天1期,178.28,25680000.0,144043.0,3
Beijing,Haidian,Wanliu,fang,万柳锋尚国际公寓 西向两居 简装中层 126168元/平,107.15,12990000.0,121231.0,3
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天2期,113.31,16500000.0,145618.0,3
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天1期,117.0,15000000.0,128205.0,3
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天2期,113.31,16500000.0,145618.0,3
Beijing,Haidian,Wanliu,fang,4室2厅万泉新新家园,258.0,32800000.0,127131.0,3
Beijing,Haidian,Wanliu,fang,康桥水郡3室2厅豪华装修,123.0,17800000.0,144715.0,3
Beijing,Haidian,Wanliu,fang,3室2厅阳春光华枫树园,142.54,15500000.0,108741.0,3
Beijing,Haidian,Wanliu,fang,涧桥泊屋2室2厅精装修,121.49,16500000.0,135813.0,3
Beijing,Haidian,Wanliu,fang,碧水云天西区 3室2厅2卫 经典实用 格局方正,167.38,29000000.0,173258.0,3
Beijing,Haidian,Wanliu,fang,"海淀豪宅万城华府,万柳中关村+城市别墅",288.93,75000000.0,259578.0,3
Beijing,Haidian,Wanliu,fang,2室1厅阳春光华枫树园,90.0,11500000.0,127777.0,3
Beijing,Haidian,Wanliu,fang,碧水云天西区 3室2厅2卫 经典实用 品质小区,113.31,16500000.0,145618.0,3
Beijing,Haidian,Wanliu,fang,万泉新新家园 1室0厅1卫 品质小区 格局方正,56.98,6500000.0,114075.0,3
Beijing,Haidian,Wanliu,fang,4室2厅万泉新新家园,230.01,33990000.0,147776.0,3
Beijing,Haidian,Wanliu,fang,万泉新新家园 237.95平4居 南北向简装修 拎包入住,237.95,39800000.0,167262.0,3
Beijing,Haidian,Wanliu,fang,涧桥泊屋3室2厅豪华装修,127.31,17800000.0,139816.0,3
Beijing,Haidian,Wanliu,fang,万泉新新家园 4室2厅2卫 主卧朝南 客厅朝南,218.81,28800000.0,131621.0,3
Beijing,Haidian,Wanliu,fang,4室2厅万泉新新家园,230.01,33990000.0,147776.0,3
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天2期,113.31,16500000.0,145618.0,3
Beijing,Haidian,Wanliu,fang,万柳万泉一层带南花园 满五年税费少 带车位 位置好,200.05,29800000.0,148962.0,3
Beijing,Haidian,Wanliu,fang,4室1厅碧水云天1期,180.02,28000000.0,155538.0,3
Beijing,Haidian,Wanliu,fang,蜂鸟家园 1室1厅1卫 格局方正 品质小区,51.68,5800000.0,112229.0,4
Beijing,Haidian,Wanliu,fang,4室2厅万泉新新家园,313.7,50500000.0,160981.0,4
Beijing,Haidian,Wanliu,fang,3室1厅锋尚国际公寓,148.52,16800000.0,113116.0,4
Beijing,Haidian,Wanliu,fang,3室2厅阳春光华枫树园,151.0,20000000.0,132450.0,4
Beijing,Haidian,Wanliu,fang,正南蜂鸟社区1室1厅,47.28,6450000.0,136421.0,4
Beijing,Haidian,Wanliu,fang,4室2厅锋尚国际公寓,156.0,21800000.0,139743.0,4
Beijing,Haidian,Wanliu,fang,3室2厅万泉新新家园,136.83,18500000.0,135204.0,4
Beijing,Haidian,Wanliu,fang,2室2厅碧水云天2期,93.89,12500000.0,133134.0,4
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天2期,145.42,22600000.0,155411.0,4
Beijing,Haidian,Wanliu,fang,6室3厅万泉新新家园,286.72,38000000.0,132533.0,4
Beijing,Haidian,Wanliu,fang,3室1厅锋尚国际公寓,148.52,16800000.0,113116.0,4
Beijing,Haidian,Wanliu,fang,新上 橡树园中间楼 南北稀雀大五室 前后不临街户型方正 急售,188.15,24700000.0,131278.0,4
Beijing,Haidian,Wanliu,fang,4室2厅碧水云天2期,181.99,33000000.0,181328.0,4
Beijing,Haidian,Wanliu,fang,蜂鸟社区1室1厅精装修,78.16,7990000.0,102226.0,4
Beijing,Haidian,Wanliu,fang,3室2厅万泉新新家园,136.83,18500000.0,135204.0,4
Beijing,Haidian,Wanliu,fang,万柳万泉新新家园 三卧室南观景房 远眺佛香阁 四十平客厅,164.7,24800000.0,150576.0,4
Beijing,Haidian,Wanliu,fang,4室2厅万泉新新家园,258.0,32800000.0,127131.0,4
Beijing,Haidian,Wanliu,fang,2室1厅锋尚国际公寓,99.0,12990000.0,131212.0,4
Beijing,Haidian,Wanliu,fang,2室1厅锋尚国际公寓,99.0,12990000.0,131212.0,4
Beijing,Haidian,Wanliu,fang,锋尚国际公寓 3室2厅2卫 两房朝南 品质小区,146.86,17990000.0,122497.0,4
Beijing,Haidian,Wanliu,fang,光大花园 3室2厅2卫 全南户型 带飘窗,150.81,15800000.0,104767.0,4
Beijing,Haidian,Wanliu,fang,3室2厅光大水墨风景,147.15,21500000.0,146109.0,4
Beijing,Haidian,Wanliu,fang,4室2厅万泉新新家园,258.0,32800000.0,127131.0,4
Beijing,Haidian,Wanliu,fang,万泉新新家园 3室2厅2卫 主卧朝南 客厅朝南,182.93,25600000.0,139944.0,4
Beijing,Haidian,Wanliu,fang,阳春光华 3室2厅2卫 格局方正 客厅带阳台,150.94,20000000.0,132502.0,4
Beijing,Haidian,Wanliu,fang,万柳书院5室2厅豪华装修,413.63,85000000.0,205497.0,4
Beijing,Haidian,Wanliu,fang,4室2厅万城华府龙园,307.53,76000000.0,247130.0,4
Beijing,Haidian,Wanliu,fang,2室2厅万城华府龙园,114.59,24000000.0,209442.0,4
Beijing,Haidian,Wanliu,fang,2室2厅阳春光华枫树园,107.0,11000000.0,102803.0,4
Beijing,Haidian,Wanliu,fang,万泉新新家园 55平1居 东向精装修 安静不临街,55.0,6400000.0,116363.0,4
Beijing,Haidian,Wanliu,fang,3室2厅光大水墨风景,150.62,21900000.0,145399.0,4
Beijing,Haidian,Wanliu,fang,万泉新新家园 160平3居 南北向精装修 拎包入住,160.0,26800000.0,167500.0,4
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天2期,125.29,17500000.0,139675.0,4
Beijing,Haidian,Wanliu,fang,万泉新新家园 3室2厅2卫 主卧朝南,182.93,25600000.0,139944.0,4
Beijing,Haidian,Wanliu,fang,南北通透涧桥泊屋3室2厅精装修,171.68,25800000.0,150279.0,4
Beijing,Haidian,Wanliu,fang,涧桥泊屋馆 3室2厅2卫 格局方正 品质小区,162.52,26800000.0,164902.0,4
Beijing,Haidian,Wanliu,fang,万泉新新家园 169.6平3居 南北向精装修 自住保养好,169.6,22900000.0,135023.0,4
Beijing,Haidian,Wanliu,fang,3室2厅阳春光华枫树园,126.3,14300000.0,113222.0,4
Beijing,Haidian,Wanliu,fang,2室1厅锋尚国际公寓,99.0,12990000.0,131212.0,4
Beijing,Haidian,Wanliu,fang,3室2厅阳春光华枫树园,158.3,18000000.0,113708.0,4
Beijing,Haidian,Wanliu,fang,锋尚国际公寓 2室1厅1卫 格局方正 品质小区,105.31,12900000.0,122495.0,4
Beijing,Haidian,Wanliu,fang,万泉新新家园 237.95平4居 南北向简装修 拎包入住,237.95,39800000.0,167262.0,4
Beijing,Haidian,Wanliu,fang,光大花园1室1厅精装修,76.48,7400000.0,96757.0,4
Beijing,Haidian,Wanliu,fang,4室2厅万泉新新家园,237.95,43350000.0,182181.0,4
Beijing,Haidian,Wanliu,fang,3室1厅碧水云天2期,144.0,18880000.0,131111.0,4
Beijing,Haidian,Wanliu,fang,万柳园!三环内!采光充足!近地铁双轨!南北通透精装修!,54.45,2380000.0,43709.0,4
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天1期,137.0,18000000.0,131386.0,4
Beijing,Haidian,Wanliu,fang,南北通透小南庄3室2厅精装修,135.5,11200000.0,82656.0,4
Beijing,Haidian,Wanliu,fang,光大花园 2室1厅1卫 经典实用 品质小区,105.08,14000000.0,133231.0,4
Beijing,Haidian,Wanliu,fang,3室2厅阳春光华枫树园,143.85,17000000.0,118178.0,4
Beijing,Haidian,Wanliu,fang,4室1厅锋尚国际公寓,154.32,24800000.0,160705.0,4
Beijing,Haidian,Wanliu,fang,阳春光华枫树园 142.54平3居 西南向精装修 视野无遮挡,142.54,15500000.0,108741.0,4
Beijing,Haidian,Wanliu,fang,4室2厅万城华府海园,318.63,70000000.0,219690.0,4
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天1期,137.4,19500000.0,141921.0,4
Beijing,Haidian,Wanliu,fang,南北通透涧桥泊屋3室2厅精装修,164.33,25500000.0,155175.0,4
Beijing,Haidian,Wanliu,fang,南北通透涧桥泊屋3室2厅精装修,171.68,25800000.0,150279.0,4
Beijing,Haidian,Wanliu,fang,3室2厅阳春光华橡树园,137.19,18800000.0,137036.0,4
Beijing,Haidian,Wanliu,fang,康桥水郡3室2厅豪华装修,123.0,17800000.0,144715.0,4
Beijing,Haidian,Wanliu,fang,南北通透涧桥泊屋2室1厅精装修,127.2,14500000.0,113993.0,4
Beijing,Haidian,Wanliu,fang,新起点嘉园3室2厅精装修,158.05,16880000.0,106801.0,5
Beijing,Haidian,Wanliu,fang,光大花园3室2厅豪华装修,151.0,17300000.0,114569.0,5
Beijing,Haidian,Wanliu,fang,蜂鸟家园 1室0厅1卫 客厅带阳台 客厅朝南,51.84,5680000.0,109567.0,5
Beijing,Haidian,Wanliu,fang,2室2厅阳春光华枫树园,107.0,11000000.0,102803.0,5
