总价格,平米价格,面积
980000,9445,103.75
628000,7414,84.7
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
1200000,13317,90.11
650000,9154,71
950000,7678,123.73
685000,8187,83.66
2200000,12021,183
560000,8457,66.21
470000,5766,81.5
830000,9120,91
880000,9263,95
700000,10007,69.95
1050000,10824,97
1680000,13548,124
7000000,26778,261.4
760000,7680,98.95
920000,9482,97.02
950000,10518,90.32
770000,8369,92
750000,7365,101.82
1800000,11081,162.44
1110000,11212,99
937000,9254,101.25
618000,6505,95
650000,6500,100
1660000,11567,143.51
1180000,7191,164.09
1030000,11195,92
960000,7384,130
772000,10283,75.07
1320000,10545,125.17
1250000,9848,126.92
540000,7338,73.58
1050000,10963,95.77
590000,7693,76.69
450000,7001,64.27
920000,9019,102
2200000,12021,183
568000,8738,65
600000,6012,99.8
500000,9035,55.34
1100000,12149,90.54
1160000,11485,101
430000,6763,63.58
740000,9177,80.63
630000,7834,80.41
750000,9146,82
720000,8685,82.9
597000,8340,71.58
1170000,9435,124
1050000,10714,98
545000,6566,83
1850000,14779,125.17
1150000,9311,123.5
1200000,13317,90.11
800000,6140,130.29
638000,7269,87.76
888000,10535,84.29
510000,6650,76.69
255000,5324,47.89
470000,7121,66
450000,6818,66
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
1350000,9893,136.46
460000,6865,67
730000,8859,82.4
420000,6363,66
1660000,13879,119.6
2379000,13994,170
1150000,9311,123.5
1690000,13501,125.17
2390000,11739,203.58
678000,9162,74
800000,7694,103.97
680000,6071,112
890000,9780,91
1150000,11604,99.1
780000,8666,90
680000,10625,64
660000,8148,81
750000,9146,82
700000,9797,71.45
750000,8573,87.48
1590000,12702,125.17
830000,8389,98.93
900000,9987,90.11
920000,9482,97.02
850000,8947,95
710000,8530,83.23
780000,7959,98
860000,6950,123.73
880000,8888,99
860000,7755,110.89
1200000,13317,90.11
1330000,13418,99.12
760000,10213,74.41
680000,8292,82
880000,11733,75
1560000,13220,118
850000,9987,85.11
370000,7843,47.17
1050000,10714,98
700000,8433,83
730000,8798,82.97
850000,9659,88
1890000,11595,163
1500000,12096,124
800000,11267,71
500000,6922,72.23
675000,9375,72
730000,8798,82.97
760000,8085,94
888000,10535,84.29
999000,8665,115.28
700000,7608,92
650000,7597,85.55
8050000,30424,264.59
1120000,8044,139.22
920000,9482,97.02
950000,9343,101.68
700000,9797,71.45
2180000,16029,136
824000,11444,72
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
1080000,11392,94.8
1160000,11485,101
800000,11267,71
2100000,17647,119
950000,10518,90.32
840000,8155,103
1660000,11567,143.51
706000,8899,79.33
2379000,13994,170
1850000,14341,129
960000,7384,130
1160000,9389,123.54
700000,9797,71.45
1750000,14589,119.95
1110000,11212,99
880000,9105,96.64
900000,7200,125
920000,11108,82.82
1050000,10963,95.77
370000,7843,47.17
1160000,11485,101
580000,7073,82
900000,10072,89.35
1250000,7912,157.98
650000,6513,99.8
1360000,11724,116
1050000,10824,97
1850000,14341,129
920000,9006,102.15
720000,7680,93.75
738000,10328,71.45
1750000,14705,119
1850000,11349,163
950000,9595,99
1180000,8740,135
780000,8501,91.75
675000,9375,72
1100000,12149,90.54
680000,8292,82
830000,9120,91
700000,8045,87
635000,8943,71
650000,7406,87.76
751000,9722,77.24
780000,8666,90
980000,7234,135.46
920000,9662,95.21
2150000,16078,133.72
700000,8433,83
1250000,9848,126.92
600000,8397,71.45
540000,7338,73.58
470000,7121,66
710000,8255,86
700000,5400,129.62
600000,8000,75
1100000,12582,87.42
730000,8798,82.97
3400000,17887,190.08
980000,10458,93.7
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
980000,7234,135.46
580000,6756,85.84
1200000,6137,195.53
2200000,12021,183
463000,6251,74.06
1330000,13418,99.12
1450000,10583,137
630000,8141,77.38
470000,7121,66
738000,10328,71.45
740000,7788,95.01
1170000,9069,129
1550000,11660,132.93
1360000,11724,116
1050000,7777,135
1170000,9435,124
630000,7834,80.41
720000,10285,70
730000,8798,82.97
930000,8629,107.77
1050000,10609,98.97
530000,6172,85.87
1200000,10083,119.01
920000,9662,95.21
670000,7204,93
648000,7791,83.17
760000,9156,83
1190000,13612,87.42
1850000,14779,125.17
650000,6513,99.8
958000,9503,100.81
860000,7755,110.89
750000,7365,101.82
1400000,10590,132.2
1060000,9866,107.43
420000,6198,67.76
950000,7678,123.73
710000,9607,73.9
1720000,14405,119.4
820000,8620,95.12
1360000,11724,116
895000,9619,93.04
790000,7758,101.82
1220000,9400,129.78
10000000,31948,313
1110000,11212,99
255000,5324,47.89
1050000,10536,99.65
710000,9607,73.9
880000,8888,99
500000,9035,55.34
2680000,13194,203.12
630000,6810,92.5
480000,6760,71
1030000,11195,92
722000,9343,77.27
420000,6363,66
1650000,12222,135
675000,7921,85.21
880000,9263,95
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
1390000,11487,121
920000,9019,102
1020000,9444,108
470000,5766,81.5
1550000,11151,139
660000,6280,105.09
600000,6749,88.89
1120000,8044,139.22
850000,10365,82
460000,6865,67
1850000,14341,129
698000,7402,94.29
650000,7926,82
940000,7684,122.32
298000,7842,38
740000,7788,95.01
590000,7693,76.69
597000,6317,94.5
1680000,13548,124
450000,6214,72.41
1120000,11334,98.81
1450000,10583,137
370000,7843,47.17
2000000,14706,135.99
1210000,12872,94
760000,7755,98
1050000,10609,98.97
1080000,9729,111
800000,8602,93
980000,9087,107.84
710000,10142,70
590000,7693,76.69
1200000,13186,91
550000,6159,89.3
460000,6865,67
920000,9482,97.02
720000,8685,82.9
650000,8783,74
500000,6722,74.38
500000,6097,82
930000,8629,107.77
880000,8888,99
450000,6818,66
1590000,12541,126.78
750000,7365,101.82
1660000,11567,143.51
620000,7525,82.39
760000,10213,74.41
950000,11585,82
597000,7014,85.11
1360000,11724,116
3400000,17887,190.08
1040000,9470,109.82
650000,8349,77.85
1060000,7803,135.83
960000,7384,130
690000,6207,111.16
1250000,9848,126.92
820000,9213,89
660000,6000,110
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
463000,6251,74.06
730000,8798,82.97
660000,8148,81
500000,6922,72.23
1850000,14341,129
463000,6251,74.06
720000,5665,127.09
880000,8888,99
950000,7661,123.99
950000,10518,90.32
740000,7956,93
230000,5897,39
650000,6731,96.56
1650000,12222,135
720000,8000,90
770000,8369,92
500000,6722,74.38
820000,8620,95.12
1010000,12317,82
980000,7234,135.46
680000,6071,112
660000,6000,110
581000,7169,81.04
980000,10769,91
1150000,11604,99.1
470000,7121,66
2110000,17603,119.86
1360000,11724,116
999000,8665,115.28
550000,5922,92.86
515000,6866,75
900000,7500,120
1690000,13501,125.17
888000,9425,94.21
860000,9247,93
740000,7788,95.01
888000,10567,84.03
850000,9659,88
1160000,11485,101
530000,6172,85.87
8050000,30424,264.59
1150000,9387,122.5
2380000,14000,170
597000,8340,71.58
750000,8573,87.48
680000,10625,64
738000,10328,71.45
700000,7608,92
490000,6334,77.35
938800,10391,90.34
820000,9213,89
1480000,11229,131.79
1680000,13548,124
800000,7694,103.97
850000,9436,90.08
800000,7848,101.93
850000,10000,85
1050000,10824,97
1900000,11675,162.73
750000,7142,105
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
660000,6717,98.25
1000000,10104,98.97
850000,7943,107
760000,7676,99
630000,8873,71
3400000,17887,190.08
1010000,12317,82
840000,8103,103.66
530000,6172,85.87
720000,8726,82.51
706000,8899,79.33
370000,6713,55.11
581000,7169,81.04
1050000,10824,97
1450000,10583,137
1250000,7912,157.98
780000,7930,98.36
1133000,11951,94.8
1627000,12998,125.17
1050000,7777,135
760000,10213,74.41
938800,10391,90.34
1060000,9866,107.43
738000,10328,71.45
1160000,11485,101
460000,6865,67
470000,5402,87
556000,6740,82.49
770000,8773,87.76
750000,9146,82
590000,7693,76.69
950000,9595,99
1180000,9536,123.73
200000,4761,42
1900000,9933,191.27
700000,8045,87
888000,10567,84.03
1750000,14705,119
510000,6650,76.69
1170000,9435,124
1660000,11567,143.51
950000,10674,89
1300000,7514,173
1850000,14779,125.17
1600000,12226,130.86
2000000,15410,129.78
550000,6159,89.3
980000,9445,103.75
900000,7200,125
1150000,11604,99.1
1000000,8380,119.33
880000,9887,89
510000,5930,86
3200000,13875,230.62
2200000,11764,187
850000,9340,91
700000,9333,75
570000,7340,77.65
1450000,10069,144
1450000,11198,129.48
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
560000,4583,122.17
1390000,11487,121
3250000,21347,152.24
830000,9222,90
5990000,26793,223.56
3090000,19133,161.5
680000,6931,98.11
288000,6000,48
800000,6837,117
1890000,15938,118.58
790000,10279,76.85
600000,8450,71
1300000,13402,97
1300000,10655,122
2193000,18366,119.4
1450000,10069,144
950000,10674,89
830000,6693,124
320000,6666,48
1518000,11569,131.21
880000,9263,95
890000,6884,129.27
1040000,8752,118.82
2800000,9824,285
900000,9890,91
1050000,8532,123.06
650000,6132,106
1150000,9426,122
930000,6888,135
730000,8318,87.76
1000000,7142,140
1700000,13673,124.33
1800000,14400,125
1180000,8740,135
860000,9052,95
3400000,10429,326
820000,6676,122.81
880000,9263,95
2800000,14730,190.08
650000,8441,77
1600000,11851,135
610000,7106,85.84
900000,9987,90.11
1490000,10719,139
600000,6703,89.5
1900000,11716,162.17
790000,7836,100.81
1700000,5563,305.59
3500000,18413,190.08
790000,8876,89
1300000,10743,121
520000,6308,82.43
1650000,12222,135
850000,9340,91
850000,8947,95
494000,7718,64
1380000,10222,135
910000,9739,93.43
554000,5737,96.56
620000,5774,107.36
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
790000,10279,76.85
600000,7894,76
590000,8385,70.36
2900000,10111,286.8
860000,9052,95
2190000,7618,287.44
500000,6097,82
850000,8947,95
650000,8024,81
1490000,10719,139
6180000,21310,290
2020000,13931,145
650000,8682,74.86
960000,9320,103
870000,6214,140
800000,6837,117
1230000,8152,150.88
1450000,10069,144
538000,7057,76.23
880000,9263,95
950000,10674,89
2700000,14080,191.75
3700000,11671,317
700000,9333,75
780000,8066,96.7
910000,9739,93.43
790000,8876,89
1700000,10260,165.69
772000,10283,75.07
880000,8674,101.45
2193000,18366,119.4
1890000,15938,118.58
636000,6727,94.54
1700000,13673,124.33
3200000,13875,230.62
800000,8247,97
1300000,13402,97
2000000,6205,322.29
880000,11733,75
780000,9323,83.66
690000,9718,71
880000,9263,95
1070000,8629,124
2000000,9049,221
1600000,11851,135
770000,8227,93.59
1300000,9629,135
620000,8062,76.9
1170000,9435,124
1000000,7142,140
950000,10674,89
950000,9287,102.29
2100000,8327,252.19
1560000,11800,132.2
3250000,21347,152.24
610000,7106,85.84
320000,6666,48
950000,10674,89
4100000,13099,313
1150000,9504,121
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
400000,10526,38
800000,9302,86
1530000,9683,158
1230000,8152,150.88
1650000,12222,135
1180000,8740,135
1760000,13037,135
520000,6308,82.43
1040000,8752,118.82
1150000,9426,122
770000,8227,93.59
554000,5737,96.56
2200000,13496,163
960000,9320,103
618000,6505,95
3000000,18106,165.69
560000,7288,76.83
1850000,14779,125.17
1080000,10597,101.91
860000,9052,95
1320000,10064,131.16
1900000,11716,162.17
309000,7725,40
2490000,20924,119
790000,10279,76.85
3300000,14304,230.69
1750000,9486,184.48
1180000,8740,135
600000,8450,71
1870000,6421,291.19
850000,9340,91
610000,7106,85.84
2100000,8327,252.19
830000,9120,91
3200000,13875,230.62
660000,7415,89
850000,7943,107
2800000,14730,190.08
830000,8736,95
1000000,10214,97.9
1490000,10955,136
1080000,8503,127
2800000,16819,166.47
1160000,11485,101
1780000,13088,136
1050000,9072,115.73
1150000,9426,122
800000,6837,117
950000,10674,89
620000,7750,80
320000,6666,48
830000,9120,91
3400000,17887,190.08
1300000,10000,130
1300000,10743,121
910000,9381,97
650000,8441,77
820000,12615,65
3100000,14090,220
730000,7510,97.2
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
950000,9594,99.01
1180000,8740,135
620000,8062,76.9
2800000,14730,190.08
800000,8572,93.32
650000,8388,77.49
790000,9186,86
830000,9120,91
600000,6703,89.5
6180000,21310,290
950000,10674,89
880000,9905,88.84
830000,7601,109.2
880000,9263,95
636000,6727,94.54
3500000,15283,229
2900000,10111,286.8
1040000,8752,118.82
1250000,10666,117.19
930000,8849,105.09
1300000,13524,96.12
640000,6274,102
1180000,8740,135
950000,9287,102.29
1250000,10331,121
3280000,20123,163
1080000,8899,121.36
4000000,15804,253.1
3700000,11671,317
580000,8169,71
650000,8441,77
1170000,11766,99.44
880000,9263,95
1900000,12667,150
830000,6693,124
860000,9052,95
810000,10541,76.84
1500000,7353,204
1560000,11800,132.2
520000,6308,82.43
3300000,24585,134.23
3090000,19133,161.5
1100000,12360,89
1460000,14810,98.58
1080000,8503,127
880000,9263,95
1150000,13264,86.7
930000,7153,130
3100000,14090,220
650000,8682,74.86
1170000,9435,124
500000,6097,82
380000,7882,48.21
680000,6931,98.11
1140000,8188,139.22
690000,7472,92.35
830000,8736,95
880000,9263,95
1090000,13596,80.17
2100000,12768,164.47
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
1000000,9515,105.09
3300000,24585,134.23
860000,11541,74.52
1290000,12913,99.9
1500000,7353,204
560000,4583,122.17
380000,7882,48.21
480000,4773,100.57
1090000,13596,80.17
850000,7870,108
230000,8090,28.43
1250000,10666,117.19
4200000,20677,203.12
6180000,21310,290
1660000,10709,155
580000,6824,85
630000,7607,82.82
610000,7106,85.84
690000,7472,92.35
1700000,10260,165.69
700000,8490,82.45
580000,8169,71
980000,10208,96
1500000,9994,150.09
1250000,8741,143
690000,9465,72.9
1000000,8380,119.33
1100000,12360,89
1410000,11463,123
1100000,13721,80.17
4560000,19367,235.45
750000,7351,102.02
960000,8142,117.9
1230000,9915,124.06
880000,9277,94.86
650000,7680,84.64
820000,6676,122.81
930000,8849,105.09
830000,7601,109.2
3780000,18649,202.69
900000,9951,90.44
860000,8844,97.24
1780000,14240,125
2800000,9824,285
1000000,9767,102.39
600000,9985,60.09
890000,7196,123.68
1460000,14810,98.58
560000,8889,63
1610000,11798,136.46
900000,8592,104.75
1100000,12360,89
1300000,13185,98.6
1850000,14779,125.17
748000,6008,124.5
550000,7391,74.41
590000,4794,123.07
850000,9340,91
900000,10465,86
780000,8445,92.36
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
950000,10106,94
780000,8025,97.2
1250000,10331,121
820000,9111,90
1500000,7353,204
550000,7391,74.41
1170000,11766,99.44
770000,6572,117.16
2600000,21746,119.56
700000,9928,70.51
560000,8889,63
900000,10465,86
1550000,12400,125
480000,4773,100.57
650000,7680,84.64
690000,9465,72.9
780000,8445,92.36
550000,6434,85.48
554000,5737,96.56
1518000,11569,131.21
700000,6863,102
810000,10541,76.84
1220000,11961,102
850000,10319,82.37
748000,6008,124.5
1190000,12622,94.28
1150000,8583,134
950000,9424,100.81
3300000,10118,326.18
1150000,9275,124
669000,9379,71.33
3700000,16229,228
960000,8937,107.42
1170000,8403,139.22
1580000,11366,139
3150000,13696,230
1400000,10660,131.32
1620000,11871,136.46
960000,7791,123.21
3500000,18413,190.08
720000,9056,79.5
1850000,9672,191.27
1100000,7913,139
1190000,11995,99.21
840000,7170,117.17
1080000,11392,94.8
888000,9488,93.59
1090000,11487,94.89
1250000,12273,101.85
888000,10567,84.03
600000,8221,72.98
500000,6667,75
1288000,12287,104.83
850000,10480,81.11
770000,8755,87.95
710000,9189,77.26
751000,8024,93.59
1280000,10086,126.92
850000,8493,100.08
800000,9303,86
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
1550000,11823,131.11
800000,9303,86
680000,7414,91.73
1580000,11366,139
1100000,10241,107.42
1180000,11591,101.8
600000,6703,89.5
1680000,14071,119.4
620000,7627,81.29
2350000,13824,170
600000,8221,72.98
470000,6696,70.19
660000,7500,88
1680000,12445,135
1600000,16162,99
1000000,9920,100.81
580000,8265,70.18
500000,6667,75
490000,6465,75.79
630000,7722,81.59
669000,9563,69.95
780000,9221,84.59
860000,8052,106.81
800000,7590,105.41
900000,9355,96.21
1120000,8965,124.94
1250000,10103,123.73
3700000,16229,228
700000,7693,91
1280000,8103,157.98
1620000,11871,136.46
610000,8495,71.81
900000,11989,75.07
740000,10423,71
669000,9379,71.33
850000,10480,81.11
710000,7554,94
560000,6830,82
1830000,15257,119.95
3300000,10118,326.18
780000,7738,100.81
750000,9115,82.28
595000,8073,73.71
360000,7655,47.03
890000,8397,106
410000,6050,67.76
1070000,8630,124
888000,10567,84.03
1300000,13145,98.9
830000,9266,89.58
858000,8290,103.5
968000,9843,98.34
1080000,11392,94.8
3250000,21348,152.24
830000,8859,93.7
1100000,11090,99.18
1120000,9066,123.54
1280000,10086,126.92
1190000,9597,124
680000,6994,97.24
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
778000,7203,108
610000,7114,85.75
780000,7738,100.81
450000,6720,66.97
940000,7598,123.73
1100000,10817,101.7
1400000,10660,131.32
780000,8641,90.27
680000,6994,97.24
1100000,11090,99.18
590000,8258,71.45
640000,6996,91.49
720000,7680,93.75
556000,8397,66.21
620000,7627,81.29
1930000,11823,163.25
540000,6610,81.7
669000,9563,69.95
1300000,13145,98.9
1300000,13104,99.21
610000,8495,71.81
360000,7655,47.03
1830000,15257,119.95
580000,7501,77.33
858000,8290,103.5
580000,7849,73.89
2200000,18334,120
620000,8063,76.9
1280000,10086,126.92
750000,9807,76.48
410000,7592,54
760000,7310,103.98
580000,8265,70.18
820000,8473,96.77
1850000,15469,119.6
900000,11989,75.07
1080000,11392,94.8
595000,8073,73.71
710000,8573,82.82
680000,7414,91.73
1150000,9275,124
1620000,11871,136.46
900000,9355,96.21
650000,7836,82.96
890000,8397,106
1600000,16162,99
838000,8255,101.52
850000,8444,100.67
680000,7760,87.64
288000,5978,48.18
680000,7523,90.39
720000,9056,79.5
830000,9266,89.58
880000,8022,109.7
3500000,18413,190.08
1180000,11591,101.8
888000,9488,93.59
610000,6546,93.19
1150000,8583,134
741000,8346,88.78
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
640000,6996,91.49
610000,6546,93.19
950000,10519,90.31
2200000,13581,162
410000,7592,54
1250000,10103,123.73
700000,7740,90.44
1150000,11619,98.97
1080000,11392,94.8
580000,7601,76.31
1120000,8965,124.94
595000,8073,73.71
700000,7693,91
850000,9073,93.69
960000,7791,123.21
450000,6720,66.97
888000,10567,84.03
850000,8444,100.67
1288000,12287,104.83
780000,8212,94.99
1950000,11945,163.25
1050000,8476,123.89
780000,10541,74
880000,8642,101.84
1530000,8897,171.98
1750000,10660,164.18
760000,7590,100.14
1210000,9660,125.27
450000,8601,52.32
1290000,11316,114
540000,7274,74.24
980000,9726,100.77
900000,10228,88
900000,7015,128.3
1680000,12029,139.67
1430000,9035,158.29
3600000,11174,322.16
680000,6348,107.13
1300000,9421,138
1080000,7957,135.73
140000,4298,32.58
720000,9679,74.39
290000,6418,45.19
820000,7599,107.92
590000,8499,69.42
350000,6690,52.32
370000,8748,42.3
500000,9458,52.87
790000,8487,93.09
680000,7855,86.57
700000,8632,81.1
620000,9486,65.36
560000,8616,65
670000,7279,92.05
2960000,13156,225
1350000,10089,133.81
660000,9851,67
388000,8054,48.18
3850000,15890,242.3
750000,8621,87
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
420000,5584,75.22
980000,9075,108
600000,6828,87.88
2900000,17494,165.78
900000,10017,89.85
4050000,17557,230.69
160000,4911,32.58
700000,9492,73.75
510000,8607,59.26
600000,6702,89.53
560000,7350,76.2
700000,9723,72
750000,9300,80.65
850000,8465,100.42
500000,6757,74
250000,5942,42.08
780000,11374,68.58
800000,12945,61.8
180000,6207,29
210000,6364,33
350000,9260,37.8
2830000,12359,229
1300000,11096,117.16
700000,8860,79.01
250000,7021,35.61
1150000,7800,147.45
750000,7440,100.81
558000,6490,85.98
250000,6992,35.76
318000,7118,44.68
680000,6931,98.12
820000,8394,97.7
380000,4531,83.87
360000,6681,53.89
600000,10850,55.3
600000,8112,73.97
830000,7304,113.64
1350000,11836,114.06
1650000,10096,163.44
550000,6002,91.65
1280000,8103,157.98
580000,8193,70.8
3000000,21902,136.98
790000,8146,96.99
670000,9005,74.41
650000,8009,81.16
450000,9506,47.34
880000,10000,88
300000,6266,47.88
630000,7965,79.1
420000,5250,80
448000,7691,58.25
880000,9566,92
850000,9240,92
660000,10856,60.8
890000,8397,106
850000,8496,100.05
350000,9788,35.76
788000,11029,71.45
850000,9433,90.11
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
750000,10749,69.78
360000,10068,35.76
650000,8628,75.34
630000,9146,68.89
800000,8422,95
135000,4144,32.58
420000,5674,74.03
730000,8981,81.29
750000,10494,71.47
900000,8940,100.68
860000,8600,100
875000,9211,95
2750000,16846,163.25
890000,9851,90.35
680000,6779,100.32
660000,7526,87.7
760000,7835,97.01
780000,10026,77.8
390000,8729,44.68
568000,7253,78.32
710000,9844,72.13
740000,10000,74
1600000,9226,173.43
1235000,10866,113.66
1290000,9394,137.33
3570000,10969,325.47
680000,10525,64.61
660000,7174,92
350000,7588,46.13
1510000,11619,129.97
750000,9260,81
750000,7426,101
750000,8955,83.76
860000,9728,88.41
300000,7143,42
700000,7752,90.3
600000,8488,70.69
1050000,7033,149.3
840000,8661,96.99
570000,6869,82.99
700000,8076,86.68
850000,12462,68.21
870000,7656,113.64
1100000,8588,128.09
830000,9223,90
820000,9480,86.5
1400000,9656,145
1950000,14258,136.77
750000,7001,107.13
698000,8450,82.61
450000,4844,92.9
720000,10392,69.29
750000,10093,74.31
420000,9029,46.52
890000,8726,102
680000,7878,86.32
460000,8718,52.77
1300000,9030,143.98
580000,8203,70.71
760000,8538,89.02
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
