University,Research_Area,Top_Journals,Skills
Brown University,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Brown University,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Brown University,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
London School of Economics (LSE),Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
London School of Economics (LSE),Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
London School of Economics (LSE),Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
University of California-Berkeley,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
University of California-Berkeley,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
University of California-Berkeley,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
University of British Columbia,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
University of British Columbia,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
University of British Columbia,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
University of Wisconsin-Madison,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
University of Wisconsin-Madison,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
University of Wisconsin-Madison,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Toulouse School of Economics (TSE),Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Toulouse School of Economics (TSE),Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Toulouse School of Economics (TSE),Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
University of California-Davis,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
University of California-Davis,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
University of California-Davis,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Rijksuniversiteit Groningen,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Rijksuniversiteit Groningen,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Rijksuniversiteit Groningen,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
University of Cambridge,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
University of Cambridge,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
University of Cambridge,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Columbia University,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Columbia University,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Columbia University,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Alma Mater Studiorum - Università di Bologna,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Alma Mater Studiorum - Università di Bologna,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Alma Mater Studiorum - Università di Bologna,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Johns Hopkins University,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Johns Hopkins University,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Johns Hopkins University,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Monash University,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Monash University,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Monash University,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Erasmus Universiteit Rotterdam,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Erasmus Universiteit Rotterdam,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Erasmus Universiteit Rotterdam,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
University of Maryland,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
University of Maryland,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
University of Maryland,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
University of California-Irvine,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
University of California-Irvine,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
University of California-Irvine,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Hebrew University of Jerusalem,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Hebrew University of Jerusalem,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Hebrew University of Jerusalem,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
"Università degli Studi di Roma ""Tor Vergata""",Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
"Università degli Studi di Roma ""Tor Vergata""",Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
"Università degli Studi di Roma ""Tor Vergata""",Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Universidad Carlos III de Madrid,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Universidad Carlos III de Madrid,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Universidad Carlos III de Madrid,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Goethe Universität Frankfurt am Main,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Goethe Universität Frankfurt am Main,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Goethe Universität Frankfurt am Main,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Universitat de Barcelona,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Universitat de Barcelona,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Universitat de Barcelona,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Ludwig-Maximilians-Universität München,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Ludwig-Maximilians-Universität München,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Ludwig-Maximilians-Universität München,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Rutgers University-New Brunswick,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Rutgers University-New Brunswick,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Rutgers University-New Brunswick,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
McGill University,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
McGill University,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
McGill University,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Australian National University,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Australian National University,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Australian National University,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
Washington University in St. Louis,Finance,Journal of Finance; Journal of Financial Economics; Review of Financial Studies,Financial analysis and modeling skills; Analytical and problem-solving skills; Microsoft Office proficiency and business communication skills
Washington University in St. Louis,Marketing,Journal of Consumer Psychology; Journal of Consumer Research; Journal of Marketing,Market analysis skills; Communication and interpersonal skills; Office software and data handling skills
Washington University in St. Louis,Social Science,American Journal of Political Science; American Journal of Sociology; American Political Science Review,Research and analytical skills; Communication and interpersonal skills; Organizational and problem-solving skills
